Participant,Gender (1 = female; 2= male; 3= other),Age,GOLDMSI (3),GROUP (1 or 2) ,Score Test 1 (out of 35),Difficulty Test 1 (1-7),Score Test 2 (out of 35),Difficulty Test 2,,,,,,,,,,,,,,,
33255145,1,27,42,1,23,4,18,6,,,,,,,,,,,,,,,
33289939,1,23,7,1,22,5,18,5,,,,,,,,,,,,,,,
33480258,1,26,39,1,32,3,33,5,,,,,,,,,,,,,,,
33523044,1,27,34,1,26,3,31,4,,,,,,,,,,,,,,,
33531826,1,28,41,1,31,2,33,2,,,,,,,,,,,,,,,
33544905,2,31,,1,29,2,32,2,,,,,,,,,,,,,,,
33554519,1,23,21,1,30,4,30,2,,,,,,,,,,,,,,,
33556462,2,26,8,1,28,3,31,3,,,,,,,,,,,,,,,
33577249,2,48,6,1,17,5,20,5,,,,,,,,,,,,,,,
33578953,1,28,33,1,33,2,27,5,,,,,,,,,,,,,,,
33583572,1,29,34,1,17,5,24,4,,,,,,,,,,,,,,,
33585658,1,21,30,1,8,3,11,4,,,,,,,,,,,,,,,
33585869,2,39,28,1,30,1,34,1,,,,,,,,,,,,,,,
33586979,3,28,26,1,16,4,14,5,,,,,,,,,,,,,,,
33592735,2,25,29,1,30,3,28,4,,,,,,,,,,,,,,,
33594356,1,21,24,1,21,4,23,5,,,,,,,,,,,,,,,
33203590,1,26,43,2,32,3,31,5,,,,,,,,,,,,,,,
33436736,1,23,38,2,28,4,28,4,,,,,,,,,,,,,,,
33520762,2,29,33,2,31,2,29,3,,,,,,,,,,,,,,,
33546911,1,26,23,2,30,2,26,5,,,,,,,,,,,,,,,
33560679,3,21,37,2,33,2,31,5,,,,,,,,,,,,,,,
33562486,1,22,35,2,25,3,19,5,,,,,,,,,,,,,,,
33567793,1,22,41,2,31,3,29,,,,,,,,,,,,,,,,
33577924,1,28,45,2,21,3,25,4,,,,,,,,,,,,,,,
33578332,1,22,43,2,26,4,24,6,,,,,,,,,,,,,,,
33580063,1,22,11,2,34,1,29,5,,,,,,,,,,,,,,,
33585148,1,25,43,2,23,4,25,6,,,,,,,,,,,,,,,
